soil,temperature,humidity,rainfall,ph,season,region,irrigation,crop
Loamy,32.31,61.43,125.52,7.64,Kharif,East,High,Sugarcane
Clay,23.47,61.9,167.43,6.59,Zaid,South,High,Sugarcane
Clay,25.73,70.97,195.3,6.22,Kharif,North,Medium,Rice
Loamy,22.15,57.41,103.27,7.19,Kharif,West,Low,Cotton
Loamy,17.18,57.66,114.87,7.4,Rabi,Central,Medium,Wheat
Sandy,12.81,47.44,43.59,6.44,Rabi,West,Low,Barley
Clay,15.86,59.98,106.1,6.74,Rabi,West,Medium,Wheat
Sandy,28.57,59.74,33.91,7.36,Kharif,Central,Low,Millet
Sandy,30.62,54.17,33.23,6.51,Kharif,South,Low,Millet
Loamy,27.0,56.61,62.56,7.61,Kharif,South,Medium,Cotton
Loamy,20.42,72.37,116.59,6.45,Kharif,Central,Medium,Soybean
Red,25.77,41.89,82.79,6.45,Kharif,Central,Low,Millet
Loamy,10.09,47.11,70.78,6.26,Rabi,West,Low,Barley
Loamy,21.69,40.79,89.34,7.7,Rabi,North,Medium,Barley
Sandy,28.23,64.3,77.11,7.3,Kharif,South,Medium,Maize
Sandy,22.48,66.28,68.69,5.53,Kharif,North,Medium,Maize
Black,29.23,54.13,91.84,7.11,Kharif,Central,Low,Cotton
Clay,32.31,68.42,181.49,7.36,Kharif,North,High,Sugarcane
Loamy,18.81,52.94,81.15,6.09,Rabi,Central,Medium,Wheat
Loamy,31.28,85.44,277.74,6.51,Kharif,North,High,Rice
Loamy,23.08,88.32,212.23,5.07,Kharif,East,Medium,Rice
Loamy,21.92,56.22,76.98,6.41,Rabi,Central,Medium,Wheat
Loamy,20.17,56.25,51.86,7.12,Rabi,North,Low,Wheat
Clay,22.65,81.41,161.29,6.16,Kharif,North,High,Sugarcane
Clay,22.55,73.49,187.47,6.06,Kharif,South,Medium,Rice
Clay,23.81,74.73,214.91,6.03,Kharif,North,High,Rice
Clay,27.31,82.12,301.48,6.09,Kharif,East,High,Rice
Loamy,27.35,70.37,74.72,6.46,Kharif,West,Medium,Soybean
Loamy,25.81,65.27,114.36,6.38,Kharif,West,Medium,Soybean
Loamy,32.14,57.22,80.04,7.98,Kharif,South,Medium,Cotton
Loamy,10.24,48.37,75.87,7.83,Rabi,North,Medium,Barley
Loamy,34.81,47.21,108.47,6.25,Kharif,South,Low,Cotton
Red,24.95,45.7,40.04,6.19,Kharif,West,Low,Millet
Sandy,10.25,43.92,80.01,6.68,Rabi,West,Low,Barley
Clay,24.92,79.8,262.1,5.89,Kharif,East,High,Rice
Loamy,26.65,47.01,65.76,7.97,Kharif,West,Medium,Cotton
Clay,18.77,64.64,92.5,6.64,Rabi,West,Low,Wheat
Loamy,13.06,42.85,73.17,7.03,Rabi,West,Medium,Barley
Sandy,17.61,51.45,32.11,6.48,Rabi,Central,Low,Mustard
Black,27.96,57.83,111.47,6.14,Kharif,West,Medium,Soybean
Clay,30.98,85.25,217.87,5.66,Kharif,South,High,Rice
Black,25.89,65.35,137.79,6.04,Kharif,West,Medium,Soybean
Black,32.38,63.41,63.32,6.79,Kharif,West,Low,Cotton
Sandy,34.08,43.58,44.2,7.32,Kharif,West,Low,Millet
Sandy,18.21,73.12,136.15,5.52,Zaid,Central,Medium,Maize
Red,26.7,59.07,84.66,6.31,Kharif,Central,Low,Millet
Loamy,20.15,65.57,80.4,6.31,Kharif,Central,Medium,Soybean
Sandy,14.98,46.54,88.47,6.35,Rabi,West,Low,Barley
Loamy,31.11,83.13,185.06,5.01,Kharif,East,High,Rice
Loamy,12.49,50.48,54.01,7.72,Rabi,North,Low,Barley
Loamy,13.77,49.72,77.08,6.49,Rabi,West,Medium,Barley
Loamy,29.18,89.02,196.59,6.53,Kharif,North,Medium,Rice
Loamy,21.13,78.18,203.69,6.26,Zaid,North,High,Sugarcane
